configuration,sut_build,apfd_avg,apfd_stdev
auc_reduce_75_75_double_mut,Angel-ML@angel-build-572266708,0.9571428571428571,1.1102230246251565e-16
auc_reduce_75_75_double_mut,Angel-ML@angel-build-573430804,0.9791666666666667,1.1102230246251565e-16
auc_reduce_75_75_double_mut,Angel-ML@angel-build-617681746,0.9677419354838712,2.220446049250313e-16
auc_reduce_75_75_double_mut,Angel-ML@angel-build-774241138,0.8600000000000001,1.1102230246251565e-16
auc_reduce_75_75_double_mut,Angel-ML@angel-build-774621409,0.8600000000000001,1.1102230246251565e-16
auc_reduce_75_75_double_mut,apache@logging-log4j2-build-631422399,0.9989406779661019,1.1102230246251565e-16
auc_reduce_75_75_double_mut,apache@logging-log4j2-build-655176246,0.9989583333333336,2.220446049250313e-16
auc_reduce_75_75_double_mut,apache@logging-log4j2-build-671139394,0.9988479262672809,1.1102230246251565e-16
auc_reduce_75_75_double_mut,apache@logging-log4j2-build-689499689,0.9991721854304636,0.0
auc_reduce_75_75_double_mut,apache@logging-log4j2-build-719612616,0.9991974317817018,2.220446049250313e-16
auc_reduce_75_75_double_mut,apache@rocketmq-build-756896391,0.6987373737373737,0.07807932166316811
auc_reduce_75_75_double_mut,apache@rocketmq-build-769627527,0.9448387096774192,0.010447828864968808
auc_reduce_75_75_double_mut,apache@rocketmq-build-771743118,0.9961290322580645,0.0019354838709677474
auc_reduce_75_75_double_mut,apache@rocketmq-build-772405229,0.9943820224719102,2.220446049250313e-16
auc_reduce_75_75_double_mut,apache@rocketmq-build-774679068,0.9975490196078434,2.220446049250313e-16
auc_reduce_75_75_double_mut,CompEvol@beast2-build-265895347,0.9758064516129032,0.0
auc_reduce_75_75_double_mut,CompEvol@beast2-build-370392223,0.984126984126984,0.0
auc_reduce_75_75_double_mut,CompEvol@beast2-build-672670788,0.8685714285714285,0.0065465367070797675
auc_reduce_75_75_double_mut,CompEvol@beast2-build-713144849,0.9788732394366197,1.1102230246251565e-16
auc_reduce_75_75_double_mut,CompEvol@beast2-build-753152000,0.9788732394366197,1.1102230246251565e-16
auc_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-706711493,0.8428571428571429,0.061088283865696986
auc_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-725089259,0.9142857142857143,0.015939285052870768
auc_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-745989142,0.883673469387755,0.008163265306122457
auc_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-758777544,0.9081632653061222,1.1102230246251565e-16
auc_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-772049550,0.9275510204081632,0.011589608868980132
