configuration,sut_build,apfd_avg,apfd_stdev
auc_reduce_50_100_double_mut,Angel-ML@angel-build-572266708,0.9571428571428571,1.1102230246251565e-16
auc_reduce_50_100_double_mut,Angel-ML@angel-build-573430804,0.9625,0.03818813079129871
auc_reduce_50_100_double_mut,Angel-ML@angel-build-617681746,0.9677419354838712,2.220446049250313e-16
auc_reduce_50_100_double_mut,Angel-ML@angel-build-774241138,0.8600000000000001,1.1102230246251565e-16
auc_reduce_50_100_double_mut,Angel-ML@angel-build-774621409,0.8600000000000001,1.1102230246251565e-16
auc_reduce_50_100_double_mut,apache@logging-log4j2-build-631422399,0.9989406779661019,1.1102230246251565e-16
auc_reduce_50_100_double_mut,apache@logging-log4j2-build-655176246,0.9989583333333336,2.220446049250313e-16
auc_reduce_50_100_double_mut,apache@logging-log4j2-build-671139394,0.9988479262672809,1.1102230246251565e-16
auc_reduce_50_100_double_mut,apache@logging-log4j2-build-689499689,0.9991721854304636,0.0
auc_reduce_50_100_double_mut,apache@logging-log4j2-build-719612616,0.9991974317817018,2.220446049250313e-16
auc_reduce_50_100_double_mut,apache@rocketmq-build-756896391,0.6444444444444446,0.09507030783742539
auc_reduce_50_100_double_mut,apache@rocketmq-build-769627527,0.9419354838709678,0.00978435541167945
auc_reduce_50_100_double_mut,apache@rocketmq-build-771743118,0.9929032258064515,0.004279515858523108
auc_reduce_50_100_double_mut,apache@rocketmq-build-772405229,0.9943820224719102,2.220446049250313e-16
auc_reduce_50_100_double_mut,apache@rocketmq-build-774679068,0.9975490196078434,2.220446049250313e-16
auc_reduce_50_100_double_mut,CompEvol@beast2-build-265895347,0.9758064516129032,0.0
auc_reduce_50_100_double_mut,CompEvol@beast2-build-370392223,0.984126984126984,0.0
auc_reduce_50_100_double_mut,CompEvol@beast2-build-672670788,0.8707142857142858,0.008112726208286096
auc_reduce_50_100_double_mut,CompEvol@beast2-build-713144849,0.9788732394366197,1.1102230246251565e-16
auc_reduce_50_100_double_mut,CompEvol@beast2-build-753152000,0.978169014084507,0.002112676056337992
auc_reduce_50_100_double_mut,eclipse@paho.mqtt.java-build-706711493,0.8591836734693878,0.09361097911167113
auc_reduce_50_100_double_mut,eclipse@paho.mqtt.java-build-725089259,0.9081632653061223,0.012907255755789318
auc_reduce_50_100_double_mut,eclipse@paho.mqtt.java-build-745989142,0.8734693877551022,0.006768622021133427
auc_reduce_50_100_double_mut,eclipse@paho.mqtt.java-build-758777544,0.9081632653061222,1.1102230246251565e-16
auc_reduce_50_100_double_mut,eclipse@paho.mqtt.java-build-772049550,0.9306122448979591,0.0109901322594581
