configuration,sut_build,apfd_avg,apfd_stdev
apfd_complete_single_mut,Angel-ML@angel-build-572266708,0.9571428571428571,1.1102230246251565e-16
apfd_complete_single_mut,Angel-ML@angel-build-573430804,0.9541666666666666,0.03333333333333341
apfd_complete_single_mut,Angel-ML@angel-build-617681746,0.9677419354838712,2.220446049250313e-16
apfd_complete_single_mut,Angel-ML@angel-build-774241138,0.8600000000000001,1.1102230246251565e-16
apfd_complete_single_mut,Angel-ML@angel-build-774621409,0.8600000000000001,1.1102230246251565e-16
apfd_complete_single_mut,apache@logging-log4j2-build-631422399,0.9989406779661019,1.1102230246251565e-16
apfd_complete_single_mut,apache@logging-log4j2-build-655176246,0.9989583333333336,2.220446049250313e-16
apfd_complete_single_mut,apache@logging-log4j2-build-671139394,0.9988479262672809,1.1102230246251565e-16
apfd_complete_single_mut,apache@logging-log4j2-build-689499689,0.9991721854304636,0.0
apfd_complete_single_mut,apache@logging-log4j2-build-719612616,0.9991974317817018,2.220446049250313e-16
apfd_complete_single_mut,apache@rocketmq-build-756896391,0.6934343434343434,0.1139848752266307
apfd_complete_single_mut,apache@rocketmq-build-769627527,0.9432258064516128,0.0111931300470306
apfd_complete_single_mut,apache@rocketmq-build-771743118,0.9954838709677418,0.002580645161290329
apfd_complete_single_mut,apache@rocketmq-build-772405229,0.9943820224719102,2.220446049250313e-16
apfd_complete_single_mut,apache@rocketmq-build-774679068,0.9975490196078434,2.220446049250313e-16
apfd_complete_single_mut,CompEvol@beast2-build-265895347,0.9758064516129032,0.0
apfd_complete_single_mut,CompEvol@beast2-build-370392223,0.9833333333333332,0.002380952380952339
apfd_complete_single_mut,CompEvol@beast2-build-672670788,0.8735714285714286,0.009063269671749625
apfd_complete_single_mut,CompEvol@beast2-build-713144849,0.9788732394366197,1.1102230246251565e-16
apfd_complete_single_mut,CompEvol@beast2-build-753152000,0.978169014084507,0.002112676056337992
apfd_complete_single_mut,eclipse@paho.mqtt.java-build-706711493,0.8408163265306122,0.09354421743972113
apfd_complete_single_mut,eclipse@paho.mqtt.java-build-725089259,0.9061224489795918,0.03587427720662639
apfd_complete_single_mut,eclipse@paho.mqtt.java-build-745989142,0.8806122448979592,0.0065338002422784015
apfd_complete_single_mut,eclipse@paho.mqtt.java-build-758777544,0.9102040816326529,0.006122448979591877
apfd_complete_single_mut,eclipse@paho.mqtt.java-build-772049550,0.9316326530612244,0.018843046237366688
