configuration,sut_build,apfd_avg,apfd_stdev
apfd_reduce_75_75_double_mut,Angel-ML@angel-build-572266708,0.9571428571428571,1.1102230246251565e-16
apfd_reduce_75_75_double_mut,Angel-ML@angel-build-573430804,0.9583333333333336,0.033592740617910684
apfd_reduce_75_75_double_mut,Angel-ML@angel-build-617681746,0.9677419354838712,2.220446049250313e-16
apfd_reduce_75_75_double_mut,Angel-ML@angel-build-774241138,0.8600000000000001,1.1102230246251565e-16
apfd_reduce_75_75_double_mut,Angel-ML@angel-build-774621409,0.8600000000000001,1.1102230246251565e-16
apfd_reduce_75_75_double_mut,apache@logging-log4j2-build-631422399,0.9989406779661019,1.1102230246251565e-16
apfd_reduce_75_75_double_mut,apache@logging-log4j2-build-655176246,0.9989583333333336,2.220446049250313e-16
apfd_reduce_75_75_double_mut,apache@logging-log4j2-build-671139394,0.9988479262672809,1.1102230246251565e-16
apfd_reduce_75_75_double_mut,apache@logging-log4j2-build-689499689,0.9991721854304636,0.0
apfd_reduce_75_75_double_mut,apache@logging-log4j2-build-719612616,0.9991974317817018,2.220446049250313e-16
apfd_reduce_75_75_double_mut,apache@rocketmq-build-756896391,0.6646464646464646,0.08651560850652064
apfd_reduce_75_75_double_mut,apache@rocketmq-build-769627527,0.9422580645161289,0.010934484681727908
apfd_reduce_75_75_double_mut,apache@rocketmq-build-771743118,0.9948387096774193,0.004131047895117977
apfd_reduce_75_75_double_mut,apache@rocketmq-build-772405229,0.9943820224719102,2.220446049250313e-16
apfd_reduce_75_75_double_mut,apache@rocketmq-build-774679068,0.9975490196078434,2.220446049250313e-16
apfd_reduce_75_75_double_mut,CompEvol@beast2-build-265895347,0.9758064516129032,0.0
apfd_reduce_75_75_double_mut,CompEvol@beast2-build-370392223,0.984126984126984,0.0
apfd_reduce_75_75_double_mut,CompEvol@beast2-build-672670788,0.8678571428571427,0.00798595706249925
apfd_reduce_75_75_double_mut,CompEvol@beast2-build-713144849,0.9788732394366197,1.1102230246251565e-16
apfd_reduce_75_75_double_mut,CompEvol@beast2-build-753152000,0.9788732394366197,1.1102230246251565e-16
apfd_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-706711493,0.8530612244897959,0.037686092474733444
apfd_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-725089259,0.9142857142857143,0.01306760048455689
apfd_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-745989142,0.8826530612244898,0.00940769842580906
apfd_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-758777544,0.9102040816326529,0.006122448979591877
apfd_reduce_75_75_double_mut,eclipse@paho.mqtt.java-build-772049550,0.926530612244898,0.010990132259458165
