Build,Seed1,Seed2,Seed3,Seed4,Seed5
616169297,0.9988424037602456,0.9988424037602456,0.9988424037602456,0.9988424037602456,0.9988424037602456
619150069,0.9976528899930304,0.9976528899930304,0.9976528899930304,0.9976528899930304,0.9976528899930304
619154572,0.9988486641651908,0.9988486641651908,0.9988486641651908,0.9988486641651908,0.9988486641651908
619155025,0.9988018937977596,0.9988018937977596,0.9988018937977596,0.9988018937977596,0.9988018937977596
619967582,0.9988579728305756,0.9988579728305756,0.9988579728305756,0.9988579728305756,0.9988579728305756
619968325,0.9988919651220168,0.9988919651220168,0.9988919651220168,0.9988919651220168,0.9988919651220168
620441000,0.99888148616447,0.99888148616447,0.99888148616447,0.99888148616447,0.99888148616447
620456044,0.9988783931180673,0.9988783931180673,0.9988783931180673,0.9988783931180673,0.9988783931180673
620959385,0.9988497242204049,0.9988497242204049,0.9988497242204049,0.9988497242204049,0.9988497242204049
621897873,0.9986424932958672,0.9986424932958672,0.9986424932958672,0.9986424932958672,0.9986424932958672
621903156,0.9989172271633958,0.9989172271633958,0.9989172271633958,0.9989172271633958,0.9989172271633958
621919603,0.8862803949439058,0.9365583278339004,0.9760945987105945,0.6925992436164272,0.9034513173257526
621921459,0.998950266537262,0.998950266537262,0.998950266537262,0.998950266537262,0.998950266537262
621925137,0.9981341277604552,0.9981341277604552,0.9981341277604552,0.9981341277604552,0.9981341277604552
621925335,0.9981962637818408,0.9981962637818408,0.9981962637818408,0.9981962637818408,0.9981962637818408
622095008,0.998747389852424,0.998747389852424,0.998747389852424,0.998747389852424,0.998747389852424
622129266,0.9988452095081348,0.9988452095081348,0.9988452095081348,0.9988452095081348,0.9988452095081348
622187720,0.9988636203420418,0.9988636203420418,0.9988636203420418,0.9988636203420418,0.9988636203420418
622188858,0.9987698273786026,0.9987698273786026,0.9987698273786026,0.9987698273786026,0.9987698273786026
622301029,0.9981579374496284,0.9981579374496284,0.9981579374496284,0.9981579374496284,0.9981579374496284
622389211,0.9988590803207454,0.9988590803207454,0.9988590803207454,0.9988590803207454,0.9988590803207454
622424597,0.99875171346221,0.99875171346221,0.99875171346221,0.99875171346221,0.99875171346221
622424632,0.9989895265209984,0.9989895265209984,0.9989895265209984,0.9989895265209984,0.9989895265209984
623233016,0.9989128122710408,0.9989128122710408,0.9989128122710408,0.9989128122710408,0.9989128122710408
